Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,15
37.0,140.0,9.61587214452889,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,8.343077871169383,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,6.066108090103747,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.709530201312334,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.6375861597263857,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,7.901377353792616,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.378383712996714,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,6.236369590203704,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.081404364984463,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.14166355650266,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,9.210440366976515,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,6.792344427470809,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.198497031265826,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.6375861597263857,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,3.258096538021482,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,10.12667110305036,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.783640596221253,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,6.133398042996649,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.673323267171493,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.875197323201151,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,9.680406499268877,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,7.00397413672268,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,6.311734809152915,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.739792912179234,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.993961427306569,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,6.710523109452428,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,19
37.0,140.0,6.447305862541213,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.564520407322694,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,5.25227342804663,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,4.262679877041316,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,26
37.0,140.0,10.404293143019792,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,19
37.0,140.0,9.39274525863144,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,5.525452939131784,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
37.0,140.0,4.189654742026425,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,26
